UUIDFactura,Nombre_Receptor,RFC_Receptor,Nombre_Emisor,RFC_Emisor,Concepto,FechaEmision,Monto,MetodoPago,Vigencia,DivisaFactura
A6F6283A0CFF4267B06E1D8DE4B237B6,C**** S****S****,CSS010101**0,F**** A****M****,AUM010101**0,,08/11/2023,52041.65,PUE,30/11/2023,MXN
A611515D48414AA9B1466FE7C513CA4C,S**** B****F****,SBF010101**0,B**** S****M****,BSM010101**8,,02/06/2023,810.84,PUE,No definido,MXN
A609C3A6E525461FBD37330B69E9D78F,C**** S****S****,CSS010101**0,C**** G****M****,CGM010101**8,,25/10/2023,14505.54,PUE,No definido,MXN
A3F7FD8AD632553C99C41F3BD1F2696E,C**** S****S****,CSS010101**0,I****,IZA010101**2,,16/05/2023,3306,PUE,No definido,MXN
A2CE366116CF4145B4364F772817BC88,C**** S****S****,CSS010101**0,B**** I****S****,BII010101**1,,05/04/2023,172.26,PUE,No definido,MXN
A1B6D49F434E484089552BEC5CDA620A,C**** S****S****,CSS010101**0,B**** I****S****,BII010101**1,,02/10/2023,182.7,PUE,31/10/2023,MXN
A11FBE177C0A4AF4B9E2DB07FEC0F8CD,J**** J****A****,AEB010101**7,C**** S****S****,CSS010101**0,,31/08/2023,5134.04,PUE,No definido,MXN
A0D99A8EAA2E44B6A78F7262FB7D47DE,C**** S****S****,CSS010101**0,S**** G****A****,SGD010101**1,,15/06/2023,39934.3,PUE,No definido,MXN
A08955B937BF45BE80686B69EC0D61A1,C**** S****S****,CSS010101**0,H**** D****P****,HDS010101**9,,29/09/2023,114939.19,PUE,No definido,MXN
A06D058D58984D5AB9BB3CE09F306C3B,D**** M****L****,MAL010101**4,C**** S****S****,CSS010101**0,,16/01/2023,3947.35,PUE,No definido,MXN
A01D6309A0564847A197885909C3ACA2,C**** S****S****,CSS010101**0,D**** E****M****,DEM010101**9,,21/02/2023,667.31,PUE,No definido,MXN
A00D2FD2C495437D81E02F2A2BB7AF8C,C**** S****S****,CSS010101**0,I**** M****D****,IMS010101**5,,21/07/2023,16876.19,PUE,No definido,MXN
9FD729C6BC5B4E78B5249746575CF0B5,C**** S****S****,CSS010101**0,"""**** D****G****",AGE010101**5,,25/08/2023,1758.26,PUE,No definido,MXN
9F72E614C44B49F8B6B1FD7D6C1BA8FE,C**** S****S****,CSS010101**0,B**** N****D****,BNM010101**1,,02/02/2023,0,PUE,No definido,MXN
9F435E72F3AB4DA8AA0078BCE9A2DFFC,C**** S****S****,CSS010101**0,H**** D****P****,HDS010101**9,,15/06/2023,114983.02,PUE,No definido,MXN
